admin_unit,crime_count,year
ZAGORJE OB SAVI,375,2021
ČRNOMELJ,868,2021
ŠENTJUR PRI CELJU,661,2021
ŠKOFJA LOKA,600,2021
ŠMARJE PRI JELŠAH,698,2021
ŽALEC,1293,2021
AJDOVŠČINA,540,2022
BREŽICE,1754,2022
CELJE,3279,2022
CERKNICA,312,2022
DOMŽALE,4225,2022
DRAVOGRAD,262,2022
GORNJA RADGONA,587,2022
GROSUPLJE,1790,2022
HRASTNIK,187,2022
IDRIJA,397,2022
ILIRSKA BISTRICA,259,2022
IZOLA,793,2022
JESENICE,790,2022
KAMNIK,1260,2022
KOPER,2813,2022
KOČEVJE,1274,2022
KRANJ,2297,2022
KRŠKO,1589,2022
LAŠKO,547,2022
LENART,483,2022
LENDAVA,1119,2022
LITIJA,582,2022
LJUBLJANA,28706,2022
LJUTOMER,374,2022
LOGATEC,680,2022
MARIBOR,5636,2022
METLIKA,490,2022
MOZIRJE,522,2022
MURSKA SOBOTA,1887,2022
NEZNANA OBČ,29,2022
NEZNANA UE,13,2022
NI PODATKA,833,2022
NOVA GORICA,2089,2022
NOVO MESTO,4409,2022
ORMOŽ,406,2022
PESNICA,500,2022
PIRAN,973,2022
POSTOJNA,865,2022
PTUJ,2423,2022
RADLJE OB DRAVI,248,2022
RADOVLJICA,1149,2022
RAVNE NA KOROŠKEM,476,2022
RIBNICA,301,2022
RUŠE,400,2022
SEVNICA,464,2022
SEŽANA,878,2022
SLOVENJ GRADEC,499,2022
SLOVENSKA BISTRICA,1366,2022
SLOVENSKE KONJICE,869,2022
TOLMIN,426,2022
TRBOVLJE,493,2022
TREBNJE,1000,2022
TRŽIČ,255,2022
VELENJE,1968,2022
VRHNIKA,693,2022
ZAGORJE OB SAVI,274,2022
ČRNOMELJ,1069,2022
ŠENTJUR PRI CELJU,461,2022
ŠKOFJA LOKA,800,2022
ŠMARJE PRI JELŠAH,775,2022
ŽALEC,1977,2022
AJDOVŠČINA,651,2023
BREŽICE,2071,2023
CELJE,3580,2023
CERKNICA,473,2023
DOMŽALE,2601,2023
DRAVOGRAD,194,2023
GORNJA RADGONA,672,2023
GROSUPLJE,1888,2023
HRASTNIK,285,2023
IDRIJA,397,2023
ILIRSKA BISTRICA,291,2023
IZOLA,587,2023
JESENICE,1087,2023
KAMNIK,1472,2023
KOPER,3020,2023
KOČEVJE,1339,2023
KRANJ,2902,2023
KRŠKO,1808,2023
LAŠKO,467,2023
LENART,582,2023
LENDAVA,1076,2023
LITIJA,442,2023
LJUBLJANA,31781,2023
LJUTOMER,530,2023
LOGATEC,383,2023
MARIBOR,7622,2023
METLIKA,381,2023
MOZIRJE,310,2023
MURSKA SOBOTA,1934,2023
NEZNANA OBČ,57,2023
NEZNANA UE,162,2023
NI PODATKA,1086,2023
NOVA GORICA,2598,2023
NOVO MESTO,4996,2023
ORMOŽ,364,2023
PESNICA,708,2023
PIRAN,1215,2023
POSTOJNA,1075,2023
PTUJ,2456,2023
RADLJE OB DRAVI,322,2023
RADOVLJICA,1198,2023
RAVNE NA KOROŠKEM,552,2023
RIBNICA,443,2023
RUŠE,393,2023
SEVNICA,485,2023
SEŽANA,1188,2023
SLOVENJ GRADEC,711,2023
SLOVENSKA BISTRICA,1340,2023
SLOVENSKE KONJICE,610,2023
TOLMIN,330,2023
TRBOVLJE,473,2023
TREBNJE,873,2023
TRŽIČ,299,2023
VELENJE,1900,2023
VRHNIKA,605,2023
ZAGORJE OB SAVI,314,2023
ČRNOMELJ,911,2023
ŠENTJUR PRI CELJU,487,2023
ŠKOFJA LOKA,619,2023
ŠMARJE PRI JELŠAH,822,2023
ŽALEC,1576,2023
AJDOVŠČINA,642,2024
BREŽICE,1863,2024
CELJE,4148,2024
CERKNICA,408,2024
DOMŽALE,4023,2024
DRAVOGRAD,198,2024
GORNJA RADGONA,653,2024
GROSUPLJE,2167,2024
HRASTNIK,202,2024
IDRIJA,442,2024
ILIRSKA BISTRICA,336,2024
IZOLA,652,2024
JESENICE,895,2024
KAMNIK,1321,2024
KOPER,3323,2024
KOČEVJE,1678,2024
KRANJ,4376,2024
KRŠKO,1746,2024
LAŠKO,438,2024
LENART,438,2024
LENDAVA,977,2024
LITIJA,666,2024
LJUBLJANA,35174,2024
LJUTOMER,325,2024
LOGATEC,577,2024
MARIBOR,7422,2024
METLIKA,430,2024
MOZIRJE,431,2024
MURSKA SOBOTA,1861,2024
NEZNANA OBČ,49,2024
NEZNANA UE,21,2024
NI PODATKA,1225,2024
NOVA GORICA,2488,2024
NOVO MESTO,4683,2024
ORMOŽ,431,2024
PESNICA,491,2024
PIRAN,1263,2024
POSTOJNA,1056,2024
PTUJ,2337,2024
RADLJE OB DRAVI,330,2024
RADOVLJICA,1397,2024
RAVNE NA KOROŠKEM,667,2024
RIBNICA,510,2024
RUŠE,473,2024
SEVNICA,432,2024
SEŽANA,979,2024
SLOVENJ GRADEC,868,2024
SLOVENSKA BISTRICA,1444,2024
SLOVENSKE KONJICE,808,2024
TOLMIN,426,2024
TRBOVLJE,485,2024
TREBNJE,1090,2024
TRŽIČ,323,2024
VELENJE,2156,2024
VRHNIKA,745,2024
ZAGORJE OB SAVI,320,2024
ČRNOMELJ,1192,2024
ŠENTJUR PRI CELJU,633,2024
ŠKOFJA LOKA,759,2024
ŠMARJE PRI JELŠAH,1087,2024
ŽALEC,1472,2024
